"","alpha[1,1]","alpha[2,1]","alpha[3,1]","alpha[4,1]","alpha[5,1]","alpha[6,1]","alpha[7,1]","alpha[8,1]","alpha[9,1]","alpha[1,2]","alpha[2,2]","alpha[3,2]","alpha[4,2]","alpha[5,2]","alpha[6,2]","alpha[7,2]","alpha[8,2]","alpha[9,2]","beta[1,1]","beta[2,1]","beta[3,1]","beta[4,1]","beta[5,1]","beta[6,1]","beta[7,1]","beta[8,1]","beta[9,1]","beta[1,2]","beta[2,2]","beta[3,2]","beta[4,2]","beta[5,2]","beta[6,2]","beta[7,2]","beta[8,2]","beta[9,2]"
"22",-1.76853059255494,-1.68074444474296,-1.78145940349511,-1.82772314103203,-2.26730139160323,-1.83134055368133,-2.29846832009027,-1.88662700231379,-1.95610528568036,-1.35636940844045,-1.41200011098,-1.48197772418284,-1.56696858962376,-1.98742995929055,-1.5387003582113,-2.15480538091111,-1.46895679689848,-1.36043341088066,0.191257573791649,0.216430830248004,0.206298307834007,0.215433153814354,0.255770646577839,0.195788441655789,0.295887575529515,0.21718286453441,0.230264029409438,0.163325203597967,0.161850722566505,0.184107747663295,0.203706847061651,0.219225775952561,0.16697825643551,0.275068062739435,0.169309689114134,0.146937467233922
"23",-1.6444959241511,-1.66087125015348,-1.79665508848264,-1.84857774828193,-2.18747662448135,-1.72659025184722,-2.33091328649062,-1.89338477501794,-2.03932905554307,-1.36328057950267,-1.45957072555112,-1.52087242831744,-1.55184335647848,-1.99573526161472,-1.45612746188916,-2.1485871646112,-1.37382365733629,-1.3578580063136,0.214873490957772,0.220857835506022,0.204009534805289,0.228321558620432,0.259632355057072,0.195352357319024,0.273621394703632,0.217996669518108,0.217751918858256,0.156016427074188,0.183559072496599,0.18762503456082,0.201914660003416,0.218884617158612,0.164635452507627,0.276840666445316,0.181784183099953,0.145903824469868
"24",-1.80000851775079,-1.72701199753031,-1.81248445700716,-1.8208234645825,-2.29054993580986,-1.84697164940449,-2.26741910300892,-1.82348379764478,-2.00862136021726,-1.333170968604,-1.5284057098817,-1.52693889474815,-1.45944912288224,-2.06365701535949,-1.35397046308538,-2.30568226432478,-1.53526487868264,-1.21875802855871,0.20804691314573,0.212229411431444,0.207299293424613,0.231190076063467,0.257146285201037,0.209627361582421,0.280235691864088,0.220575683732989,0.217649553683616,0.154365874199423,0.169873035653515,0.189937189227413,0.192948679123059,0.225235185667753,0.16280091664894,0.274433137320778,0.172355856401913,0.139617188110828
"25",-1.77431292637158,-1.70162509944908,-1.85448788628509,-1.8151675873576,-2.17614423521508,-1.83733616453329,-2.40352360968469,-1.79885937238529,-2.02638984631531,-1.22052419649622,-1.53239755269403,-1.47297384758524,-1.46930863018558,-2.10428915618285,-1.35856193232875,-2.25548360740091,-1.50605486953527,-1.1765449912545,0.19476334566544,0.206950011261564,0.202744089384249,0.227032953402413,0.263246911013404,0.205896518473822,0.275812829588248,0.218380589688405,0.214896007910279,0.159828106242351,0.162989080189549,0.185226324952551,0.191080347496009,0.242487552394462,0.16692891019661,0.276052315787222,0.174301416430222,0.121387223312078
"26",-1.77210605681369,-1.74241602602886,-1.81814948969238,-1.81966463669124,-2.22583687631291,-1.8541019657475,-2.38824614100193,-1.79776436600615,-2.05078400745757,-1.47004649571791,-1.49977767835195,-1.51513872787636,-1.46744126570782,-2.04616067364567,-1.46831410720905,-2.25138748242436,-1.47306761934551,-1.17934107941809,0.215687638379982,0.196319039438854,0.206176470436828,0.22624704048746,0.256536497595216,0.201578370016909,0.280852757613069,0.221254060383683,0.226066653243347,0.152638526350334,0.177181890849454,0.186090996419506,0.189622167964571,0.217497914110472,0.168777422541401,0.279518382961833,0.178389563983336,0.152079759776698
"27",-1.78309475504358,-1.67559927833471,-1.8490158953706,-1.86330078322026,-2.10778053820403,-1.78743509081184,-2.42895864752183,-1.80193204327909,-1.91968874074071,-1.37191849941118,-1.50848073682471,-1.47773820063939,-1.54771767302005,-1.79106900097137,-1.48552463915076,-2.25145646159623,-1.4679191415602,-1.32720007059414,0.227020029093469,0.183088357896857,0.214262923566699,0.22915500074296,0.243810046823058,0.201172805050876,0.285505935113021,0.214296763631381,0.21482721688816,0.160340116671486,0.17568588995971,0.18251394884754,0.193097010644205,0.196603966192,0.171014800404098,0.276808790214103,0.181176531953028,0.151568348702203
"28",-1.92731928196331,-1.55010635145115,-1.7669909405184,-1.78184099833523,-2.1415329529148,-1.79563708005571,-2.48761281393376,-1.71316330503941,-1.87489531795982,-1.4687928703522,-1.34841278988162,-1.52431179924856,-1.55624673232415,-1.58548984510551,-1.44611230930937,-2.23012582560686,-1.51851513982863,-1.33149341420508,0.238369904634774,0.21173148408184,0.202627549025593,0.231221319411931,0.231979676888909,0.203456122237628,0.296170563901868,0.204935753929999,0.200920664156418,0.15805559820237,0.144020419156654,0.183574327324973,0.190434523606046,0.195712887826729,0.164504782489568,0.264397318271542,0.187842219080885,0.153790797070551
"29",-1.94463485865353,-1.73215726116091,-1.84370431349011,-1.7868488873408,-2.07641991596223,-1.88081974653159,-2.4940959918597,-1.7020910795279,-1.78531533938678,-1.40854763097348,-1.36744772638666,-1.46776168586378,-1.45887909404445,-1.52368342370951,-1.37128269867603,-2.22454969830074,-1.53031893211572,-1.39316896240719,0.231499143623393,0.219990251180652,0.205749356175112,0.222306141826318,0.253220502369989,0.215316187069851,0.307275798876824,0.211411257208344,0.209901742144997,0.165131878185633,0.143433551738046,0.18626058577851,0.186484987838727,0.185463776622292,0.161910670447127,0.263841722551912,0.184658125807424,0.163425348311474
"30",-1.900632947883,-1.70110804196292,-1.77344100172741,-1.7371881618767,-2.04287816211762,-1.93553518215748,-2.83992906201487,-1.72776723741086,-1.85219433721496,-1.3516246014647,-1.41316912450172,-1.52297950562354,-1.42653090172617,-1.65321051704346,-1.28828874852839,-2.15565081862713,-1.48658001009312,-1.37440724534589,0.220508690879077,0.217547403898149,0.212111385981799,0.22434848231737,0.243324459106763,0.212362735267313,0.316994801470031,0.211552261042419,0.209843425333756,0.156871805175558,0.161989654768582,0.186449336150545,0.188303696135439,0.187569811905867,0.164039150767984,0.27151127154491,0.182426086555575,0.160246465664088
"31",-1.80793476678134,-1.83658114828971,-1.86024969528026,-1.70423365699821,-2.00923666794755,-1.88799408514975,-2.72818452420923,-1.64549115621292,-1.90997492279875,-1.42006878406073,-1.43673966980622,-1.50467374402711,-1.42215142194715,-1.5170650635058,-1.33971778288864,-2.24541503767627,-1.48076097675749,-1.39173694995781,0.216133700792968,0.238593419310957,0.212171448148115,0.195851250491884,0.237768220437056,0.216202020481732,0.332509812383221,0.203209622397705,0.208925479565157,0.165655081791491,0.165846470638743,0.194077205420504,0.17009294264812,0.180300874769765,0.150512765765704,0.265020542337671,0.19273782502108,0.154114665570709
