"","alpha[1,1]","alpha[2,1]","alpha[3,1]","alpha[4,1]","alpha[5,1]","alpha[6,1]","alpha[7,1]","alpha[8,1]","alpha[9,1]","alpha[1,2]","alpha[2,2]","alpha[3,2]","alpha[4,2]","alpha[5,2]","alpha[6,2]","alpha[7,2]","alpha[8,2]","alpha[9,2]","beta[1,1]","beta[2,1]","beta[3,1]","beta[4,1]","beta[5,1]","beta[6,1]","beta[7,1]","beta[8,1]","beta[9,1]","beta[1,2]","beta[2,2]","beta[3,2]","beta[4,2]","beta[5,2]","beta[6,2]","beta[7,2]","beta[8,2]","beta[9,2]"
"11",8.49234858886823,8.75062289982203,8.53249395472615,8.38509099307803,8.62926837603726,9.05689632571281,8.6211532793045,8.65952756848362,8.89807490939869,8.50433861722799,8.26032011961923,8.37618462264268,8.52040865013432,8.27766666110048,8.59742165116686,8.31102237368575,8.31459935517773,8.4886514295904,0.19834858147839,0.195539036228017,0.19221400042068,0.262543012258099,0.300051052088442,0.206041748841401,0.374226209658515,0.179200874720474,0.187880112692189,0.156020694530119,0.16772423208295,0.219233269751413,0.199755623901015,0.169723314189021,0.198463807256985,0.303553972482135,0.147394788168199,0.163784497496231
"12",8.57963736891969,8.79070501509025,8.48799947685033,8.48022308118407,8.59580746554047,8.95699044557912,8.52307682068018,8.22939269597819,8.60669530090373,8.43794595866334,8.30942341546149,8.36884835875773,8.23289056596742,8.36393152991702,8.62783629152226,8.34788227964142,8.29575308622369,8.92386188769268,0.196585293054778,0.253704064212278,0.193680153275205,0.215985526950169,0.265854379748174,0.223452891920876,0.292281384363465,0.197737996661755,0.230639064694689,0.155642160524499,0.155554876763216,0.203926087136052,0.199559235330625,0.201915839095171,0.166258296967003,0.305386999988095,0.150298895112463,0.13664983028092
"13",8.42025614019204,8.80847393090825,8.47967006826984,8.44355531652583,8.56149529779507,8.7146224671735,8.51383117947583,8.3877168171586,8.33311073045877,8.4237143206682,8.10953144938579,8.5342790128189,8.26146754850554,8.3820983834889,8.69209857320065,8.34263683498746,8.26678650469678,9.12033591467643,0.202479020101766,0.214476769329765,0.193528663318357,0.24692787437962,0.301216420020339,0.21327005747487,0.282504444607934,0.233701534463412,0.212904016394865,0.145272768933292,0.177627281583517,0.220639732041792,0.203356518821633,0.218433266675809,0.192360620615817,0.287558191557016,0.163447965949032,0.133474551031088
"14",8.47742107987776,8.74205228577193,8.51529485993117,8.4248076965898,8.5810379522235,8.68020386533705,8.57508822835888,8.23826392146947,8.29665752909024,8.3394106077423,8.85442477132988,8.53558521192696,8.26299434437165,8.43176616745771,8.51962557102241,8.25472647386838,8.32355090560894,9.06555315553179,0.180972226412792,0.194397210213395,0.212147083834126,0.237276463998092,0.319311586325614,0.207183886041137,0.334946498215771,0.193654549309729,0.231828145471753,0.152553823009673,0.195845628505328,0.232166849654576,0.21930504380569,0.214721589957096,0.170232721697613,0.310282396052707,0.177630139205269,0.143107509452438
"15",8.62342470085726,8.29966137473598,8.52325652453125,8.40913322028651,8.45635994054708,8.61352507600069,8.64572915709526,8.32717184761716,8.83090252445588,8.44247203036912,9.03891694780737,8.09691973990148,8.2502542776198,8.40062419487797,8.29920935432752,8.20513330928617,8.11376435415157,8.82134657946971,0.182526549561867,0.23840840689002,0.2179758205273,0.249399153456369,0.32093293164202,0.231004722396083,0.2687950898249,0.221629967053424,0.226534315628313,0.161444047452329,0.191761883843659,0.191050762406699,0.219260543513984,0.216065710950926,0.168067684353539,0.309578558241001,0.191312692107204,0.155330117477683
"16",8.67403825819948,8.62860513689452,8.69294864884046,7.93331900995255,8.62257045824563,8.63887942194942,8.6871643141303,8.6112994526608,9.417361051692,8.42232024310834,8.5351706264579,8.48203373289512,8.68578624762634,8.80277444974194,8.32807138780213,8.25060839289193,8.19175551365429,8.91811277900065,0.185978079693825,0.209948543529544,0.223633033316313,0.256767535123599,0.341238176076709,0.242870076290831,0.312477581007627,0.241482513795911,0.211548672100458,0.17251239563195,0.203260891971435,0.216200675175012,0.199660273608465,0.196037063224129,0.165442516701626,0.30277817599638,0.174012599426618,0.136029509649469
"17",8.6938063957877,8.5905129292083,8.42075185835418,7.93645733070986,8.51027073711551,8.67613368218508,8.68680892485017,8.60192834551862,9.06120188496469,8.37309621744641,8.45178110900808,8.68000044841009,8.31089685882102,8.64019151362779,8.3738245199785,8.31413054034003,8.12167929026393,7.89354981239727,0.194348577757155,0.219003947273533,0.201952685563058,0.235483319820059,0.215115754443583,0.249677851704855,0.316774683811494,0.179084997000521,0.248295590582232,0.157371137579594,0.212112528366287,0.216041703373446,0.218621879743504,0.192406376168715,0.152654809970456,0.316190571573426,0.180887729345403,0.136495295543947
"18",8.62728739548168,8.16181807306725,8.72357007733407,7.86021146095493,8.30597849553135,8.66550447030172,8.70392716352796,8.8416578872904,9.18996722397668,8.3421429014934,8.61751468877374,8.68083282315602,8.40610501888432,8.83232198743676,8.39691892037546,8.36021581200254,7.9754620204122,8.15876215976411,0.198845385679199,0.217063602703262,0.238943717266578,0.245759262206713,0.254045523379581,0.226133297559316,0.360620628463344,0.193181002094805,0.187438094982548,0.179495066453398,0.163511384210693,0.208508806616391,0.189269805500794,0.210728631500873,0.188906237901172,0.330878577231673,0.196580642709859,0.129386265944547
"19",8.63064555553542,7.61694088156992,8.63069520694261,7.93695247194326,8.73193924752134,8.66169683935347,8.70137750114283,8.88640448626375,8.83451872647434,8.4113790172243,8.39369409481957,8.45639195020398,8.74284984782425,8.3326854686428,8.3880291716594,8.38689741856914,8.38961654880386,8.35265878910747,0.163661127936751,0.217358103434559,0.226920257731906,0.225281276048464,0.296647114959009,0.210781868588754,0.350582905362226,0.209449181047838,0.25894832569891,0.176452585721321,0.168472553051187,0.192601747948884,0.211417970079998,0.216665546402879,0.16569002361469,0.347539831908587,0.196317202373249,0.127077620951136
"20",8.80371627978917,7.68349080049352,8.74751095121146,7.94938336722507,8.75205434259128,8.71057774185237,8.64864493228244,8.40921935441195,8.67627635527012,8.34229789347191,8.47806789813989,8.34773140757921,8.34008196604702,8.37990132266472,8.40229314252615,8.35927060001624,8.33103484076219,8.40981392461599,0.163062781274044,0.211703399679714,0.221838561333763,0.230718798359326,0.289460528725315,0.231059290604094,0.321626866404206,0.205326050160252,0.215147505664751,0.182512326343196,0.147706921420882,0.204314252786518,0.202382317969304,0.221749554449325,0.174230814557588,0.2613545351966,0.179804538613325,0.146191781656821
